id,username,tweet,date,retweets
1265296387190784000,keeksgdl,I’m tired and depressed. I’ve been indoors since March and my head is about to explode. I hate this place so much.,2020-05-26 14:59:01+00:00,0
1265296366558941184,elshae___,Shit had gotten worst since I clocked in.. I’m so depressed lol,2020-05-26 14:58:56+00:00,0
1265296362754711552,LewdThunderSon,"Hey, babe. It's hard to feel motivated when you are depressed, but remember that things just look harder ir darker in that mood. Relax, the art can wait ",2020-05-26 14:58:55+00:00,0
1265296358765924353,scuffed_com,"just know that we’re all here to love and support you. If you need anything, we’ll be here for you. ily, stay safe.",2020-05-26 14:58:54+00:00,0
1265296329334497283,fags80921027,ايه لي سنه احاول,2020-05-26 14:58:47+00:00,0
1265296319851171840,comphetforBTS,Why is my tl full of armys being depressed abt bts future d15b4ndm3nt wtff ,2020-05-26 14:58:45+00:00,0
1265296309415628801,depressed_asu,wwwキャスやってもいうことない...,2020-05-26 14:58:42+00:00,0
1265296304525045765,depress_chu,Prayers lng tlga,2020-05-26 14:58:41+00:00,0
1265296273537630209,sergio41773313,oof that hurts,2020-05-26 14:58:34+00:00,0
1265296265866141697,ASHONNGGGG,Depress talaga,2020-05-26 14:58:32+00:00,0
1265296264066994179,fags80921027,ما يردون وش الحل,2020-05-26 14:58:32+00:00,0
1265296263194517507,DepressedMan15, ,2020-05-26 14:58:31+00:00,0
1265296241497239552,depressed_asu,とりあえずアルコール消毒しておきました ,2020-05-26 14:58:26+00:00,0
1265296228385841152,luffyking3000,Wish I could stay in bed all day,2020-05-26 14:58:23+00:00,0
1265296220794359809,DFNavi,Wtf is this shit man. Fucking disgusting.,2020-05-26 14:58:21+00:00,0
1265296186531098624,DepressedStiffy,What you say bout my queen,2020-05-26 14:58:13+00:00,0
1265296178393931776,depressed_lucio,아.. 오늘이 화요일이었어? 몸 상태가 말이 아니어서 목요일 인줄 알았어...,2020-05-26 14:58:11+00:00,0
1265296176099799040,DepressedEspres,Talk shit about fortnite and I'll put you in the gulag,2020-05-26 14:58:11+00:00,0
1265296170860986368,luffyking3000,I don’t have the energy to get up..,2020-05-26 14:58:09+00:00,0
1265296168596144130,ians_india,"Higher spirituality among stroke survivors was strongly linked to a better quality of life for them and their caregivers who may also feel #depressed, say #researchers.",2020-05-26 14:58:09+00:00,0
1265296140955561985,niajxne,Back to high depressed mode ^^,2020-05-26 14:58:02+00:00,0
1265296139454218243,Cosmiclyrah,If i wasnt a depressed bitch id do this more often. But sometimes i get major anxiety cleaning attacks and just rinse everything from roof to ground. Unfortunately that doesnt happen often. ,2020-05-26 14:58:02+00:00,0
1265296134291021830,StrugglekubzBin,"My depression has been declared “resolved” but that’s only cuz I lied!! Please get help if you need help! You don’t even need to be clinically depressed- I still suffer and it isn’t fun. I never got the help I needed but if you can, you should! ",2020-05-26 14:58:01+00:00,0
1265296133116608513,depressedcap,Tacxno,2020-05-26 14:58:00+00:00,0
1265296129559638017,kchimbap_,prolly depressed idk not trying to be oa pero yeah ,2020-05-26 14:58:00+00:00,0
1265296126518923264,angeIkooks,i’m depressed eric,2020-05-26 14:57:59+00:00,0
1265296107376082945,d0uble_depress0,"""you will bruise him in the head"" yessir don't mind if I do",2020-05-26 14:57:54+00:00,0
1265296102779236352,DadaSodiq,"The hatred is just too much, People take things too far on this app... if at the end of the day she get depressed, the same set of people that shred her will now turn to preacher of love overnight.. hypocrites",2020-05-26 14:57:53+00:00,0
1265296101650968577,DepressedOpti,Finally True RNG,2020-05-26 14:57:53+00:00,0
1265296075046305792,bnjs_94,Yauda mana haja,2020-05-26 14:57:47+00:00,0
1265296072211136513,Lizzle_4,Music is therapy. A lot of ppl are depressed because of who they decide to listen too,2020-05-26 14:57:46+00:00,0
1265296057476530177,RealMsBitch,I haven’t felt real pretty since before I got pregnant and idk what it is because I don’t have low self esteem I’m not depressed or nothing ,2020-05-26 14:57:42+00:00,0
1265296056901750784,moraleshazel20,Looking through my archive stories and saw how depressed and lost I am last year. And then Justin came. Now everything's at peace. He saved me ,2020-05-26 14:57:42+00:00,0
1265296044318953473,HelenTilley15,"For what it's worth, I think this shows your wisdom. I worry about those who are not anxious and depressed right now.",2020-05-26 14:57:39+00:00,0
